číselník,číselník_název_cs,číselník_název_en,položka,položka_kód,položka_název_cs,položka_název_en
https://data.mvcr.gov.cz/zdroj/číselníky/akademické-pozice-na-vysokých-školách,Pozice na vysokých školách,Positions at universities,https://data.mvcr.gov.cz/zdroj/číselníky/akademické-pozice-na-vysokých-školách/položky/profesor,profesor,Profesor/ka,Full Professor
https://data.mvcr.gov.cz/zdroj/číselníky/akademické-pozice-na-vysokých-školách,Pozice na vysokých školách,Positions at universities,https://data.mvcr.gov.cz/zdroj/číselníky/akademické-pozice-na-vysokých-školách/položky/docent,docent,Docent/ka,Associate Professor
https://data.mvcr.gov.cz/zdroj/číselníky/akademické-pozice-na-vysokých-školách,Pozice na vysokých školách,Positions at universities,https://data.mvcr.gov.cz/zdroj/číselníky/akademické-pozice-na-vysokých-školách/položky/OA,OA,"Odborný asistent, odborná asistentka",Assistant Professor
https://data.mvcr.gov.cz/zdroj/číselníky/akademické-pozice-na-vysokých-školách,Pozice na vysokých školách,Positions at universities,https://data.mvcr.gov.cz/zdroj/číselníky/akademické-pozice-na-vysokých-školách/položky/VP,VP,"Vědecký pracovník, věděcká pracovnice",Academic Researcher
https://data.mvcr.gov.cz/zdroj/číselníky/akademické-pozice-na-vysokých-školách,Pozice na vysokých školách,Positions at universities,https://data.mvcr.gov.cz/zdroj/číselníky/akademické-pozice-na-vysokých-školách/položky/lektor,lektor,Lektor/ka,Lecturer
https://data.mvcr.gov.cz/zdroj/číselníky/akademické-pozice-na-vysokých-školách,Pozice na vysokých školách,Positions at universities,https://data.mvcr.gov.cz/zdroj/číselníky/akademické-pozice-na-vysokých-školách/položky/vedoucí-katedry,vedoucí-katedry,Vedoucí katedry,Head of Department
https://data.mvcr.gov.cz/zdroj/číselníky/akademické-pozice-na-vysokých-školách,Pozice na vysokých školách,Positions at universities,https://data.mvcr.gov.cz/zdroj/číselníky/akademické-pozice-na-vysokých-školách/položky/proděkan,proděkan,Proděkan,Vice-Dean
https://data.mvcr.gov.cz/zdroj/číselníky/akademické-pozice-na-vysokých-školách,Pozice na vysokých školách,Positions at universities,https://data.mvcr.gov.cz/zdroj/číselníky/akademické-pozice-na-vysokých-školách/položky/děkan,děkan,Děkan,Dean
https://data.mvcr.gov.cz/zdroj/číselníky/akademické-pozice-na-vysokých-školách,Pozice na vysokých školách,Positions at universities,https://data.mvcr.gov.cz/zdroj/číselníky/akademické-pozice-na-vysokých-školách/položky/prorektor,prorektor,Prorektor,Prorector
https://data.mvcr.gov.cz/zdroj/číselníky/akademické-pozice-na-vysokých-školách,Pozice na vysokých školách,Positions at universities,https://data.mvcr.gov.cz/zdroj/číselníky/akademické-pozice-na-vysokých-školách/položky/rektor,rektor,Rektor,Rector
