číselník,číselník_název_cs,číselník_název_en,číselník_položka,číselník_položka_kód,číselník_položka_název_cs,číselník_položka_název_en,číselník_položka_širší_položka,číselník_položka_širší_shoda,číselník_položka_přesná_shoda
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/geoprostorové-údaje,geoprostorové-údaje,Geoprostorové údaje,Geospatial,,,http://data.europa.eu/bna/c_ac64a52d
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/geoprostorové-údaje/správní-jednotky,správní-jednotky,Správní jednotky,Administrative units,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/geoprostorové-údaje,http://data.europa.eu/bna/c_ac64a52d,http://inspire.ec.europa.eu/theme/au
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/geoprostorové-údaje/zeměpisné-názvy,zeměpisné-názvy,Zeměpisné názvy,Geographical names,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/geoprostorové-údaje,http://data.europa.eu/bna/c_ac64a52d,http://inspire.ec.europa.eu/theme/gn
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/geoprostorové-údaje/adresy,adresy,Adresy,Addresses,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/geoprostorové-údaje,http://data.europa.eu/bna/c_ac64a52d,http://inspire.ec.europa.eu/theme/ad
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/geoprostorové-udaje/budovy,budovy,Budovy,Buildings,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/geoprostorové-údaje,http://data.europa.eu/bna/c_ac64a52d,http://inspire.ec.europa.eu/theme/bu
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/geoprostorové-udaje/katastrální-parcely,katastrální-parcely,Katastrální parcely,Cadastral parcels,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/geoprostorové-údaje,http://data.europa.eu/bna/c_ac64a52d,http://inspire.ec.europa.eu/theme/cp
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/geoprostorové-údaje/referenční-pozemky,referenční-pozemky,Referenční pozemky,Reference parcels,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/geoprostorové-údaje,http://data.europa.eu/bna/c_ac64a52d,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/geoprostorové-údaje/zemědělské-pozemky,zemědělské-pozemky,Zemědělské pozemky,Agricultural parcels,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/geoprostorové-údaje,http://data.europa.eu/bna/c_ac64a52d,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/pozorování-země-a-životní-prostředí,pozorování-země-a-životní-prostředí,Pozorování Země a životní prostředí,Earth observation and environment,,,http://data.europa.eu/bna/c_dd313021
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/pozorování-země-a-životní-prostředí/bioregiony,bioregiony,Bioregiony,Bio-geographical regions,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/pozorování-země-a-životní-prostředí,http://data.europa.eu/bna/c_164e0bf5,http://inspire.ec.europa.eu/theme/br
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/pozorování-země-a-životní-prostředí/chráněná-území,chráněná-území,Chráněná území,Protected sites,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/pozorování-země-a-životní-prostředí,http://data.europa.eu/bna/c_164e0bf5,http://inspire.ec.europa.eu/theme/ps
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/pozorování-země-a-životní-prostředí/emise,emise,Emise,Emissions,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/pozorování-země-a-životní-prostředí,http://data.europa.eu/bna/c_164e0bf5,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/pozorování-země-a-životní-prostředí/energetické-zdroje,energetické-zdroje,Energetické zdroje,Energy Resources,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/pozorování-země-a-životní-prostředí,http://data.europa.eu/bna/c_164e0bf5,http://inspire.ec.europa.eu/theme/er
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/pozorování-země-a-životní-prostředí/geologie,geologie,Geologie,Geology,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/pozorování-země-a-životní-prostředí,http://data.europa.eu/bna/c_164e0bf5,http://inspire.ec.europa.eu/theme/ge
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/pozorování-země-a-životní-prostředí/hluk,hluk,Hluk,Noise,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/pozorování-země-a-životní-prostředí,http://data.europa.eu/bna/c_164e0bf5,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/meteorologické-údaje,meteorologické-údaje,Meteorologické údaje,Meteorological,,,http://data.europa.eu/bna/c_164e0bf5
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/meteorologické-údaje/klimatické-údaje-ověřená-pozorování,klimatické-údaje-ověřená-pozorování,Klimatické údaje: ověřená pozorování,Climate data: validated observations,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/meteorologické-údaje,http://data.europa.eu/bna/c_164e0bf5,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/meteorologické-údaje/meteorologická-upozornění,meteorologická-upozornění,Meteorologická upozornění,Weather alerts,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/meteorologické-údaje,http://data.europa.eu/bna/c_164e0bf5,
