číselník,číselník_název_en,položka,položka_kód,položka_název_en,položka_tranzitivně_širší_položka
https://data.mvcr.gov.cz/zdroj/číselníky/ford,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/10100,10100,1.1 Mathematics,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/10000
https://data.mvcr.gov.cz/zdroj/číselníky/ford,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/10200,10200,1.2 Computer and information sciences,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/10000
https://data.mvcr.gov.cz/zdroj/číselníky/ford,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/10300,10300,1.3 Physical sciences,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/10000
https://data.mvcr.gov.cz/zdroj/číselníky/ford,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/10400,10400,1.4 Chemical sciences,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/10000
https://data.mvcr.gov.cz/zdroj/číselníky/ford,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/10500,10500,1.5. Earth and related environmental sciences,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/10000
https://data.mvcr.gov.cz/zdroj/číselníky/ford,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/10600,10600,1.6 Biological sciences,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/10000
https://data.mvcr.gov.cz/zdroj/číselníky/ford,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/10700,10700,1.7 Other natural sciences,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/10000
https://data.mvcr.gov.cz/zdroj/číselníky/ford,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/20100,20100,2.1 Civil engineering,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/20000
https://data.mvcr.gov.cz/zdroj/číselníky/ford,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/20200,20200,"2.2 Electrical engineering, Electronic engineering, Information engineering",https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/20000
https://data.mvcr.gov.cz/zdroj/číselníky/ford,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/20300,20300,2.3 Mechanical engineering,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/20000
https://data.mvcr.gov.cz/zdroj/číselníky/ford,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/20400,20400,2.4 Chemical engineering,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/20000
https://data.mvcr.gov.cz/zdroj/číselníky/ford,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/20500,20500,2.5 Materials engineering,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/20000
https://data.mvcr.gov.cz/zdroj/číselníky/ford,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/20600,20600,2.6 Medical engineering,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/20000
https://data.mvcr.gov.cz/zdroj/číselníky/ford,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/20700,20700,2.7 Environmental engineering,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/20000
https://data.mvcr.gov.cz/zdroj/číselníky/ford,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/20800,20800,2.8 Environmental biotechnology,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/20000
https://data.mvcr.gov.cz/zdroj/číselníky/ford,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/20900,20900,2.9 Industrial biotechnology,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/20000
https://data.mvcr.gov.cz/zdroj/číselníky/ford,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/21000,21000,2.10 Nano-technology,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/20000
https://data.mvcr.gov.cz/zdroj/číselníky/ford,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/21100,21100,2.11 Other engineering and technologies,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/20000
https://data.mvcr.gov.cz/zdroj/číselníky/ford,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/30100,30100,3.1 Basic medicine,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/30000
https://data.mvcr.gov.cz/zdroj/číselníky/ford,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/30200,30200,3.2 Clinical medicine,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/30000
https://data.mvcr.gov.cz/zdroj/číselníky/ford,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/30300,30300,3.3 Health sciences,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/30000
https://data.mvcr.gov.cz/zdroj/číselníky/ford,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/30400,30400,3.4 Medical biotechnology,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/30000
https://data.mvcr.gov.cz/zdroj/číselníky/ford,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/30500,30500,3.5 Other medical sciences,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/30000
https://data.mvcr.gov.cz/zdroj/číselníky/ford,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/40100,40100,"4.1 Agriculture, Forestry, and Fisheries",https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/40000
https://data.mvcr.gov.cz/zdroj/číselníky/ford,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/40200,40200,4.2 Animal and Dairy science,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/40000
https://data.mvcr.gov.cz/zdroj/číselníky/ford,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/40300,40300,4.3 Veterinary science,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/40000
https://data.mvcr.gov.cz/zdroj/číselníky/ford,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/40400,40400,4.4 Agricultural biotechnology,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/40000
https://data.mvcr.gov.cz/zdroj/číselníky/ford,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/40500,40500,4.5 Other agricultural sciences,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/40000
https://data.mvcr.gov.cz/zdroj/číselníky/ford,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/50100,50100,5.1 Psychology and cognitive sciences,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/50000
https://data.mvcr.gov.cz/zdroj/číselníky/ford,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/50200,50200,5.2 Economics and Business,https://data.mvcr.gov.cz/zdroj/číselníky/ford/položky/50000
