číselník,číselník_název_cs,položka,položka_kód,položka_název_cs
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/A,A,Společenské vědy
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/B,B,Fyzika a matematika
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/C,C,Chemie
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/D,D,Vědy o zemi
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/E,E,Biovědy
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/F,F,Lékařské vědy
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/G,G,Zemědělství
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/I,I,Informatika
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/J,J,Průmysl
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/K,K,Vojenství
