číselník,číselník_název_cs,číselník_název_en,číselník_položka,číselník_položka_kód,číselník_položka_název_cs,číselník_položka_název_en
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/aerobik,aerobik,Aerobik,Aerobic
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/aikido,aikido,Aikido,Aikido
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/americký-fotbal,americký-fotbal,Americký fotbal,American football
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/atletika,atletika,Atletika,Athletics
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/badminton,badminton,Badminton,Badminton
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/balet,balet,Balet,Balet
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/baseball,baseball,Baseball,Baseball
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/basketbal,basketbal,Basketbal,Basketball
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/beachvoleybal,beachvoleybal,Plážový volejbal,Beachvoleybal
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/běh,běh,Běh,Running
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/běh-na-lyžích,běh-na-lyžích,Běh na lyžích,Cross country skiing
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/biathlon,biathlon,Biathlon,Biathlon
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/boby,boby,Boby,Bobsleigh
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/bowling,bowling,Bowling,Bowling
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/box,box,Box,Box
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/breakdance,breakdance,Breakdance,Breakdance
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/cricket,cricket,Kriket,Cricket
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/croquet,croquet,Kroket,Croquet
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/curling,curling,Curling,Curling
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/cyklistika,cyklistika,Cyklistika,Cycling
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/e-sporty,e-sporty,E-sporty,E-sports
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/florbal,florbal,Florbal,Floorball
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/fotbal,fotbal,Fotbal,Football
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/frisbee,frisbee,Frisbee,Frisbee
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/futsal,futsal,Futsal,Futsal
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/golf,golf,Golf,Golf
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/házená,házená,Házená,Handball
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/hokejbal,hokejbal,Hokejbal,Hockeyball
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/horolezectví,horolezectví,Horolezectví,Climbing
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/in-line-bruslení,in-line-bruslení,In-line bruslení,In-line skating
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/jachting,jachting,Jachting,Yachting
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/jezdectví,jezdectví,Jezdectví,Horse riding
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/jiné,jiné,Jiné,Other
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/jóga,jóga,Jóga,Yoga
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/judo,judo,Judo,Judo
