číselník,číselník_název_cs,číselník_název_en,položka,položka_kód,položka_název_cs,položka_název_en
https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-míst-na-vysoké-škole,Typy pracovních míst na vysoké škole,Position types at a university,https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-míst-na-vysoké-škole/položky/profesor,profesor,Profesor/ka,Full Professor
https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-míst-na-vysoké-škole,Typy pracovních míst na vysoké škole,Position types at a university,https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-míst-na-vysoké-škole/položky/docent,docent,Docent/ka,Associate Professor
https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-míst-na-vysoké-škole,Typy pracovních míst na vysoké škole,Position types at a university,https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-míst-na-vysoké-škole/položky/OA,OA,"Odborný asistent, odborná asistentka",Assistant Professor
https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-míst-na-vysoké-škole,Typy pracovních míst na vysoké škole,Position types at a university,https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-míst-na-vysoké-škole/položky/VP,VP,"Vědecký pracovník, věděcká pracovnice",Academic Researcher
https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-míst-na-vysoké-škole,Typy pracovních míst na vysoké škole,Position types at a university,https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-míst-na-vysoké-škole/položky/lektor,lektor,Lektor/ka,Lecturer
https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-míst-na-vysoké-škole,Typy pracovních míst na vysoké škole,Position types at a university,https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-míst-na-vysoké-škole/položky/vedoucí-katedry,vedoucí-katedry,Vedoucí katedry,Head of Department
https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-míst-na-vysoké-škole,Typy pracovních míst na vysoké škole,Position types at a university,https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-míst-na-vysoké-škole/položky/proděkan,proděkan,Proděkan,Vice-Dean
https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-míst-na-vysoké-škole,Typy pracovních míst na vysoké škole,Position types at a university,https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-míst-na-vysoké-škole/položky/děkan,děkan,Děkan,Dean
https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-míst-na-vysoké-škole,Typy pracovních míst na vysoké škole,Position types at a university,https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-míst-na-vysoké-škole/položky/prorektor,prorektor,Prorektor,Prorector
https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-míst-na-vysoké-škole,Typy pracovních míst na vysoké škole,Position types at a university,https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-míst-na-vysoké-škole/položky/rektor,rektor,Rektor,Rector
