číselník,číselník_název_cs,číselník_název_en,číselník_položka,číselník_položka_kód,číselník_položka_název_cs,číselník_položka_název_en
https://data.mvcr.gov.cz/zdroj/číselníky/typy-sportovišť,Typy sportovišť,Types of sports venues,https://data.mvcr.gov.cz/zdroj/číselníky/typy-sportovišť/položky/autodrom,autodrom,Autodrom,Autodromme
https://data.mvcr.gov.cz/zdroj/číselníky/typy-sportovišť,Typy sportovišť,Types of sports venues,https://data.mvcr.gov.cz/zdroj/číselníky/typy-sportovišť/položky/bazén,bazén,Bazén,Swimming pool
https://data.mvcr.gov.cz/zdroj/číselníky/typy-sportovišť,Typy sportovišť,Types of sports venues,https://data.mvcr.gov.cz/zdroj/číselníky/typy-sportovišť/položky/běžecká-dráha,běžecká-dráha,Běžecká dráha,Track
https://data.mvcr.gov.cz/zdroj/číselníky/typy-sportovišť,Typy sportovišť,Types of sports venues,https://data.mvcr.gov.cz/zdroj/číselníky/typy-sportovišť/položky/bobová-dráha,bobová-dráha,Bobová dráha,Bobsled track
https://data.mvcr.gov.cz/zdroj/číselníky/typy-sportovišť,Typy sportovišť,Types of sports venues,https://data.mvcr.gov.cz/zdroj/číselníky/typy-sportovišť/položky/bowlingová-dráha,bowlingová-dráha,Bowlingová dráha,Bowling track
https://data.mvcr.gov.cz/zdroj/číselníky/typy-sportovišť,Typy sportovišť,Types of sports venues,https://data.mvcr.gov.cz/zdroj/číselníky/typy-sportovišť/položky/boxerský-rink,boxerský-rink,Boxerský rink,Boxing ring
https://data.mvcr.gov.cz/zdroj/číselníky/typy-sportovišť,Typy sportovišť,Types of sports venues,https://data.mvcr.gov.cz/zdroj/číselníky/typy-sportovišť/položky/cyklistická-dráha,cyklistická-dráha,Cyklistická dráha,Cycling track
https://data.mvcr.gov.cz/zdroj/číselníky/typy-sportovišť,Typy sportovišť,Types of sports venues,https://data.mvcr.gov.cz/zdroj/číselníky/typy-sportovišť/položky/golfové-hřiště,golfové-hřiště,Golfové hřiště,Golf course
https://data.mvcr.gov.cz/zdroj/číselníky/typy-sportovišť,Typy sportovišť,Types of sports venues,https://data.mvcr.gov.cz/zdroj/číselníky/typy-sportovišť/položky/hipodrom,hipodrom,Hipodrom,Hippodrome
https://data.mvcr.gov.cz/zdroj/číselníky/typy-sportovišť,Typy sportovišť,Types of sports venues,https://data.mvcr.gov.cz/zdroj/číselníky/typy-sportovišť/položky/hřiště,hřiště,Hřiště,Field
