číselník,číselník_název_cs,číselník_název_en,číselník_položka,číselník_položka_kód,číselník_položka_název_cs,číselník_položka_název_en
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/objemný,objemný,Objemný odpad,Bulky waste
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/nebezpečný,nebezpečný,Nebezpečný odpad,Dangerous waste
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/léčiva,léčiva,Objemný Léčiva,Drugs
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/plast,plast,Plast,Plastic
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/papír,papír,Papír a lepenka,Paper and cardboard
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/sklo-bílé,sklo-bílé,Bílé (čiré) sklo,White glass
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/sklo-barevné,sklo-barevné,Barevné sklo,Stained glass
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/sklo-ostatní,sklo-ostatní,Ostatní sklo,Other glass
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/textil,textil,textil,Clothes
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/kartony,kartony,Nápojové kartony,Beverage cartons
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/olej-jedlý,olej-jedlý,Jedlý olej a tuk,Edible oil and fat
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/plech-potraviny,plech-potraviny,Plechovky od potravin,Food cans
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/plech-nápoje,plech-nápoje,Nápojové plechovky,Beverage cans
