číselník,číselník_název_cs,číselník_název_en,položka,položka_název_cs,položka_název_en
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/objemný,Objemný odpad,Bulky waste
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/nebezpečný,Nebezpečný odpad,Dangerous waste
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/léčiva,Objemný Léčiva,Drugs
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/plast,Plast,Plastic
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/papír,Papír a lepenka,Paper and cardboard
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/sklo-bílé,Bílé (čiré) sklo,White glass
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/sklo-barevné,Barevné sklo,Stained glass
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/sklo-ostatní,Ostatní sklo,Other glass
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/textil,textil,Clothes
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/kartony,Nápojové kartony,Beverage cartons
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/olej-jedlý,Jedlý olej a tuk,Edible oil and fat
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/plech-potraviny,Plechovky od potravin,Food cans
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/plech-nápoje,Nápojové plechovky,Beverage cans
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/kov-ostatní-domácnost,Ostatní kovy z domácnosti,Other household metals
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/polystyren-drobný,"Výplňový, drobný polystyren",Crushed polystyrene
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/elektro-malé,Malá domácí elektrozařízení,Small household appliances
