číselník,číselník_název_cs,číselník_název_en,číselník_položka,číselník_položka_kód,číselník_položka_název_cs,číselník_položka_název_en
https://data.mvcr.gov.cz/zdroj/číselníky/typy-událostí,Typy událostí,Events themes,https://data.mvcr.gov.cz/zdroj/číselníky/typy-událostí/položky/kino,kino,Kino,Cinema
https://data.mvcr.gov.cz/zdroj/číselníky/typy-událostí,Typy událostí,Events themes,https://data.mvcr.gov.cz/zdroj/číselníky/typy-událostí/položky/divadlo,divadlo,Divadlo,Theatre
https://data.mvcr.gov.cz/zdroj/číselníky/typy-událostí,Typy událostí,Events themes,https://data.mvcr.gov.cz/zdroj/číselníky/typy-událostí/položky/koncert,koncert,Koncert,Concert
https://data.mvcr.gov.cz/zdroj/číselníky/typy-událostí,Typy událostí,Events themes,https://data.mvcr.gov.cz/zdroj/číselníky/typy-událostí/položky/výstava,výstava,Výstava,Exhibition
https://data.mvcr.gov.cz/zdroj/číselníky/typy-událostí,Typy událostí,Events themes,https://data.mvcr.gov.cz/zdroj/číselníky/typy-událostí/položky/veletrh,veletrh,Veletrh,Fair
https://data.mvcr.gov.cz/zdroj/číselníky/typy-událostí,Typy událostí,Events themes,https://data.mvcr.gov.cz/zdroj/číselníky/typy-událostí/položky/trh,trh,Trh,Market
https://data.mvcr.gov.cz/zdroj/číselníky/typy-událostí,Typy událostí,Events themes,https://data.mvcr.gov.cz/zdroj/číselníky/typy-událostí/položky/přednáška,přednáška,Přednáška,Lecture
https://data.mvcr.gov.cz/zdroj/číselníky/typy-událostí,Typy událostí,Events themes,https://data.mvcr.gov.cz/zdroj/číselníky/typy-událostí/položky/prohlídka,prohlídka,Prohlídka,Guiiding Tour
https://data.mvcr.gov.cz/zdroj/číselníky/typy-událostí,Typy událostí,Events themes,https://data.mvcr.gov.cz/zdroj/číselníky/typy-událostí/položky/pracovní-setkání,pracovní-setkání,Pracovní setkání,Work meeting
https://data.mvcr.gov.cz/zdroj/číselníky/typy-událostí,Typy událostí,Events themes,https://data.mvcr.gov.cz/zdroj/číselníky/typy-událostí/položky/konferenční-hovor,konferenční-hovor,Konferenční hovor,Conference call
https://data.mvcr.gov.cz/zdroj/číselníky/typy-událostí,Typy událostí,Events themes,https://data.mvcr.gov.cz/zdroj/číselníky/typy-událostí/položky/flashmob,flashmob,Flashmob,Flashmob
https://data.mvcr.gov.cz/zdroj/číselníky/typy-událostí,Typy událostí,Events themes,https://data.mvcr.gov.cz/zdroj/číselníky/typy-událostí/položky/umělecká-produkce,umělecká-produkce,Umělecká produkce,Art performance
