číselník,číselník_název_cs,číselník_název_en,číselník_položka,číselník_položka_kód,číselník_položka_název_cs,číselník_položka_název_en
https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí,Témata událostí,Event themes,https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí/položky/ekonomika-a-finance,ekonomika-a-finance,Ekonomika a finance,Economy and Finance
https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí,Témata událostí,Event themes,https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí/položky/zdraví-a-životní-styl,zdraví-a-životní-styl,Zdraví a životní styl,Health and Lifestyle
https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí,Témata událostí,Event themes,https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí/položky/doprava,doprava,Doprava,Traffic
https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí,Témata událostí,Event themes,https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí/položky/věda-a-vzdělání,věda-a-vzdělání,Věda a vzdělání,Science and Education
https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí,Témata událostí,Event themes,https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí/položky/lidé-a-společnost,lidé-a-společnost,Lidé a společnost,People and Society
https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí,Témata událostí,Event themes,https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí/položky/infrastruktura,infrastruktura,Infrastruktura,Infrastructure
https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí,Témata událostí,Event themes,https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí/položky/kriminalita-a-bezpečnost,kriminalita-a-bezpečnost,Kriminalita a bezpečnost,Crime and Safety
https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí,Témata událostí,Event themes,https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí/položky/mimořádná-nebo-nebezpečná-situace,mimořádná-nebo-nebezpečná-situace,Mimořádná nebo nebezpečná situace,Emergency
https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí,Témata událostí,Event themes,https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí/položky/sport,sport,Sport,Sport
https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí,Témata událostí,Event themes,https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí/položky/umění-a-kultura,umění-a-kultura,Umění a kultura,Arts and Culture
https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí,Témata událostí,Event themes,https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí/položky/technologie,technologie,Technologie,Technology
https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí,Témata událostí,Event themes,https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí/položky/jídlo-a-pití,jídlo-a-pití,Jídlo a pití,Food and Drinks
https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí,Témata událostí,Event themes,https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí/položky/životní-prostředí,životní-prostředí,Životní prostředí,Environment
https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí,Témata událostí,Event themes,https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí/položky/historie,historie,Historie,History
https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí,Témata událostí,Event themes,https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí/položky/nadcházející-události,nadcházející-události,Nadcházející události,Events
https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí,Témata událostí,Event themes,https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí/položky/politika,politika,Politika,Politics
https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí,Témata událostí,Event themes,https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí/položky/počasí,počasí,Počasí,Weather
https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí,Témata událostí,Event themes,https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí/položky/průmysl-a-zemědělství,průmysl-a-zemědělství,Průmysl a zemědělství,Industry and Agriculture
https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí,Témata událostí,Event themes,https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí/položky/cestování,cestování,Cestování,Travelling
https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí,Témata událostí,Event themes,https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí/položky/bydlení,bydlení,Bydlení,Housing
https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí,Témata událostí,Event themes,https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí/položky/náboženství,náboženství,Náboženství,Religion
https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí,Témata událostí,Event themes,https://data.mvcr.gov.cz/zdroj/číselníky/témata-událostí/položky/jiné,jiné,Jiné,Other
